Wtorek,25,Sierpień,2026,06:34:55:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'033
,,,,,,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,,,,,,682.92,2624,41.2,5.15,479.4,682.59,-3.5,1.45, , 
,,,,,,683.58,2624,41.2,5.15,479.4,683.25,-3.9,1.41, , 
,,,,,,684.23,2656,41.2,5.15,479.4,683.91,-4.7,1.45, , 
,,,,,,684.93,2688,42.7,5.15,479.4,684.60,-5.1,1.48, , 
,,,,,,685.62,2688,41.2,5.15,479.4,685.26,-5.5,1.48, , 
,,,,,,686.32,2720,41.2,4.12,479.4,685.97,-5.9,1.45, , 
,,,,,,687.05,2752,42.7,5.15,499.8,686.69,-5.9,1.48, , 
,,,,,,687.73,2784,42.7,5.15,499.8,687.39,-4.7,1.45, , 
,,,,,,688.41,2816,42.7,4.12,479.4,688.06,-7.4,1.48, , 
,,,,,,689.11,2848,51.8,6.18,571.2,688.77,-7.4,1.48, , 
,,,,,,689.80,2560,0.0,0.00,316.2,689.45,-7.4,1.48, , 
,,,,,,690.43,1472,0.0,0.00,336.6,690.14,0.0,3.83, , 
,,,,,,691.06,1248,26.7,4.12,377.4,690.76,0.0,3.91, , 
,,,,,,691.74,2016,17.6,2.06,244.8,691.41,0.0,0.78, , 
,,,,,,692.44,2048,25.1,3.09,336.6,692.09,0.0,1.21, , 
,,,,,,693.13,2048,40.0,4.12,479.4,692.78,-7.0,1.29, , 
,,,,,,693.83,2048,47.1,5.15,571.2,693.48,-9.4,1.52, , 
,,,,,,694.52,2080,47.1,5.15,550.8,694.17,-7.0,1.60, , 
,,,,,,695.22,2080,59.2,8.24,673.2,694.86,-5.5,1.60, , 
,,,,,,695.91,2112,53.3,6.18,612.0,695.56,0.0,1.09, , 
,,,,,,696.60,2144,51.8,6.18,591.6,696.25,-4.7,1.45, , 
,,,,,,697.29,2144,29.4,3.09,377.4,696.95,-5.5,1.52, , 
,,,,,,697.96,2176,17.6,2.06,244.8,697.62,0.0,1.33, , 
,,,,,,698.65,2112,0.0,0.00,244.8,698.31,-0.4,1.52, , 
,,,,,,699.33,2080,0.0,0.00,244.8,699.00,0.0,3.63, , 
,,,,,,700.02,2016,0.0,0.00,244.8,699.67,0.0,3.95, , 
,,,,,,700.70,1984,0.0,0.00,275.4,700.34,0.0,3.91, , 
,,,,,,701.41,1920,0.0,0.00,275.4,701.05,0.0,3.95, , 
,,,,,,702.08,1856,0.0,0.00,295.8,701.74,0.0,3.91, , 
,,,,,,702.74,1760,0.0,0.00,316.2,702.38,0.0,3.98, , 
,,,,,,703.42,1696,0.0,0.00,336.6,703.08,0.0,3.98, , 
,,,,,,704.11,1600,0.0,0.00,336.6,703.75,0.0,3.98, , 
,,,,,,704.89,1504,0.0,0.00,336.6,704.43,0.0,4.02, , 
,,,,,,705.56,1472,29.4,5.15,377.4,705.28,0.0,4.02, , 
,,,,,,706.31,1440,44.3,6.18,550.8,705.94,0.0,1.21, , 
,,,,,,707.01,1504,76.9,11.33,867.0,706.62,0.0,0.98, , 
,,,,,,707.70,1568,78.4,11.33,887.4,707.35,0.0,0.86, , 
,,,,,,708.41,1632,76.9,10.30,867.0,708.05,0.0,1.05, , 
,,,,,,709.14,1696,75.3,9.27,846.6,708.78,-7.0,1.21, , 
,,,,,,709.89,1760,73.7,8.24,826.2,709.50,-10.9,1.41, , 
,,,,,,710.62,1824,72.2,8.24,795.6,710.27,-12.5,1.52, , 
,,,,,,711.37,1856,71.0,8.24,775.2,711.01,-14.1,1.52, , 
,,,,,,712.11,1920,69.4,8.24,775.2,711.74,-13.3,1.52, , 
,,,,,,712.80,1984,67.8,8.24,754.8,712.46,-11.7,1.48, , 
,,,,,,713.51,2016,66.3,8.24,734.4,713.14,-10.2,1.48, , 
,,,,,,714.23,2080,65.1,7.21,734.4,713.87,-9.0,1.45, , 
,,,,,,714.92,2112,65.1,7.21,714.0,714.57,-9.8,1.45, , 
,,,,,,715.58,2176,65.1,7.21,714.0,715.25,-10.2,1.41, , 
,,,,,,716.26,2208,63.5,7.21,693.6,715.92,-10.5,1.45, , 
,,,,,,716.93,2240,62.0,7.21,693.6,716.59,-10.9,1.45, , 
,,,,,,717.63,2272,60.4,7.21,673.2,717.29,-11.3,1.48, , 
,,,,,,718.31,2336,60.4,7.21,673.2,717.96,-11.3,1.48, , 
,,,,,,718.97,2368,59.2,7.21,652.8,718.64,-10.9,1.48, , 
,,,,,,719.64,2432,59.2,6.18,652.8,719.30,-11.7,1.48, , 
,,,,,,720.39,2464,57.6,6.18,632.4,720.04,-12.1,1.52, , 
,,,,,,721.05,2528,56.1,6.18,632.4,720.72,-10.2,1.52, , 
,,,,,,721.70,2560,56.1,6.18,612.0,721.38,-9.8,1.52, , 
,,,,,,722.38,2592,54.5,6.18,612.0,722.05,-9.8,1.45, , 
,,,,,,723.05,2656,54.5,6.18,612.0,722.71,-9.0,1.45, , 
,,,,,,723.74,2688,53.3,6.18,591.6,723.40,-7.8,1.45, , 
,,,,,,724.41,2752,50.2,5.15,571.2,724.08,-7.8,1.48, , 
,,,,,,725.10,1824,0.0,0.00,295.8,724.76,0.0,3.16, , 
,,,,,,725.80,1024,26.7,4.12,377.4,725.43,0.0,3.87, , 
,,,,,,726.48,2080,19.2,2.06,275.4,726.12,0.0,1.60, , 
,,,,,,727.17,2080,40.0,4.12,459.0,726.83,0.0,0.63, , 
,,,,,,727.83,2112,53.3,6.18,591.6,727.50,0.0,1.13, , 
,,,,,,728.54,2144,57.6,7.21,652.8,728.18,-3.1,1.33, , 
,,,,,,729.22,2176,59.2,7.21,652.8,728.89,-4.3,1.41, , 
,,,,,,729.90,2176,59.2,7.21,652.8,729.55,-5.5,1.45, , 
,,,,,,730.61,2208,66.3,8.24,734.4,730.26,-7.4,1.41, , 
,,,,,,731.26,2240,69.4,7.21,754.8,730.94,-10.2,1.41, , 
,,,,,,731.94,2240,67.8,7.21,734.4,731.60,-11.7,1.48, , 
,,,,,,732.60,2272,67.8,7.21,734.4,732.27,-12.5,1.52, , 
,,,,,,733.30,2304,66.3,7.21,734.4,732.96,-12.5,1.52, , 
,,,,,,733.96,2304,66.3,7.21,734.4,733.62,-12.1,1.56, , 
,,,,,,734.63,2336,66.3,7.21,734.4,734.30,-11.7,1.52, , 
,,,,,,735.33,2368,66.3,7.21,714.0,734.98,-11.7,1.48, , 
,,,,,,736.00,2368,65.1,7.21,714.0,735.66,-12.5,1.48, , 
,,,,,,736.74,2400,65.1,7.21,714.0,736.36,-12.5,1.41, , 
,,,,,,737.43,2400,65.1,7.21,693.6,737.09,-13.3,1.41, , 
,,,,,,738.14,2432,63.5,7.21,693.6,737.78,-10.9,1.45, , 
,,,,,,738.86,2432,63.5,7.21,693.6,738.49,-10.5,1.41, , 
,,,,,,739.58,2464,63.5,7.21,693.6,739.21,-10.9,1.48, , 
,,,,,,740.29,2464,63.5,7.21,693.6,739.94,-10.5,1.48, , 
,,,,,,740.99,2496,63.5,7.21,693.6,740.65,-10.9,1.48, , 
,,,,,,741.65,2496,63.5,7.21,693.6,741.32,-10.9,1.48, , 
,,,,,,742.37,2528,62.0,7.21,693.6,742.02,-10.2,1.52, , 
,,,,,,743.06,2528,62.0,7.21,673.2,742.71,-10.5,1.48, , 
,,,,,,743.74,2560,60.4,6.18,652.8,743.40,-10.9,1.45, , 
,,,,,,744.43,2528,60.4,6.18,652.8,744.08,-9.4,1.45, , 
,,,,,,745.15,2528,59.2,6.18,652.8,744.79,-9.8,1.41, , 
,,,,,,745.84,2528,60.4,6.18,652.8,745.50,-9.0,1.48, , 
,,,,,,746.53,2528,60.4,6.18,673.2,746.19,-9.0,1.45, , 
,,,,,,747.18,2528,60.4,7.21,673.2,746.86,-9.0,1.52, , 
,,,,,,747.92,2528,60.4,7.21,652.8,747.56,-9.8,1.48, , 
,,,,,,748.60,2528,60.4,7.21,652.8,748.27,-9.4,1.48, , 
,,,,,,749.28,2528,60.4,6.18,673.2,748.96,-9.4,1.45, , 
,,,,,,749.97,2496,60.4,6.18,652.8,749.62,-9.8,1.41, , 
,,,,,,750.64,2528,60.4,6.18,673.2,750.31,-9.4,1.45, , 
,,,,,,751.31,2496,60.4,6.18,673.2,750.98,-9.4,1.48, , 
,,,,,,752.00,2496,60.4,7.21,652.8,751.66,-9.4,1.52, , 
,,,,,,752.64,2496,60.4,7.21,652.8,752.31,-9.4,1.52, , 
,,,,,,753.32,2496,60.4,7.21,673.2,752.99,-9.4,1.45, , 
,,,,,,754.01,2496,60.4,6.18,673.2,753.68,-9.4,1.45, , 
,,,,,,754.66,2496,60.4,6.18,673.2,754.35,-9.4,1.45, , 
,,,,,,755.33,2496,60.4,6.18,673.2,754.98,-10.2,1.45, , 
,,,,,,755.96,2496,60.4,7.21,652.8,755.66,-9.8,1.52, , 
,,,,,,756.61,2496,56.1,6.18,632.4,756.30,-9.4,1.52, , 
,,,,,,757.28,2496,56.1,6.18,612.0,756.96,-8.6,1.45, , 
,,,,,,757.96,2464,54.5,6.18,612.0,757.61,-7.4,1.45, , 
,,,,,,758.70,2464,54.5,6.18,612.0,758.33,-6.6,1.45, , 
,,,,,,759.41,2464,54.5,6.18,612.0,759.05,-6.6,1.41, , 
,,,,,,760.10,2464,54.5,6.18,612.0,759.76,-6.6,1.45, , 
,,,,,,760.81,2464,53.3,6.18,591.6,760.45,-6.6,1.48, , 
,,,,,,761.52,2464,51.8,6.18,591.6,761.17,-5.9,1.52, , 
,,,,,,762.21,2464,51.8,6.18,571.2,761.87,-5.5,1.52, , 
,,,,,,762.89,2464,51.8,6.18,591.6,762.55,-5.1,1.52, , 
,,,,,,763.61,2496,51.8,6.18,591.6,763.25,-4.7,1.52, , 
,,,,,,764.28,2496,51.8,6.18,571.2,763.96,-5.1,1.45, , 
,,,,,,764.94,2496,51.8,6.18,571.2,764.63,-5.5,1.41, , 
,,,,,,765.66,2496,48.6,5.15,550.8,765.29,-4.3,1.48, , 
,,,,,,766.32,2496,47.1,5.15,550.8,765.98,-3.1,1.45, , 
,,,,,,767.01,2496,47.1,5.15,550.8,766.66,-2.7,1.48, , 
,,,,,,767.66,2496,42.7,5.15,499.8,767.34,-2.0,1.52, , 
,,,,,,768.36,2496,34.1,4.12,397.8,768.00,-2.3,1.45, , 
,,,,,,769.08,2464,22.0,2.06,295.8,768.72,-7.8,1.33, , 
,,,,,,769.75,2464,17.6,2.06,244.8,769.42,-12.1,1.29, , 
,,,,,,770.41,2432,17.6,2.06,244.8,770.07,-10.2,1.45, , 
,,,,,,771.07,2400,0.0,0.00,275.4,770.75,0.0,1.99, , 
,,,,,,771.71,2368,0.0,0.00,275.4,771.38,0.0,3.83, , 
,,,,,,772.35,2336,0.0,0.00,275.4,772.03,0.0,3.91, , 
,,,,,,773.00,2304,0.0,0.00,275.4,772.67,0.0,3.91, , 
,,,,,,773.67,2240,0.0,0.00,275.4,773.34,0.0,3.98, , 
,,,,,,774.34,2208,0.0,0.00,275.4,774.02,0.0,3.95, , 
,,,,,,775.04,2176,0.0,0.00,275.4,774.68,0.0,3.98, , 
,,,,,,775.72,2144,0.0,0.00,275.4,775.38,0.0,3.91, , 
,,,,,,776.40,2112,0.0,0.00,244.8,776.05,0.0,3.95, , 
,,,,,,777.09,2080,16.1,2.06,244.8,776.75,0.0,3.98, , 
,,,,,,777.78,2048,38.4,5.15,459.0,777.43,0.0,0.66, , 
,,,,,,778.48,2048,51.8,6.18,591.6,778.13,0.0,1.17, , 
,,,,,,779.19,2048,51.8,6.18,591.6,778.85,-1.6,1.41, , 
,,,,,,779.90,2048,51.8,6.18,612.0,779.53,-0.8,1.48, , 
,,,,,,780.61,2048,63.5,8.24,714.0,780.26,0.0,1.52, , 
,,,,,,781.32,2048,62.0,7.21,693.6,780.96,-4.7,1.37, , 
,,,,,,782.02,2080,62.0,7.21,693.6,781.67,-5.1,1.48, , 
,,,,,,782.68,2080,62.0,7.21,693.6,782.35,-5.1,1.52, , 
,,,,,,783.41,2080,62.0,7.21,693.6,783.04,-7.8,1.48, , 
,,,,,,784.11,2112,63.5,7.21,714.0,783.76,-7.4,1.48, , 
,,,,,,784.80,2112,63.5,7.21,693.6,784.45,-7.8,1.48, , 
,,,,,,785.47,2112,63.5,7.21,693.6,785.14,-9.0,1.48, , 
,,,,,,786.16,2144,62.0,7.21,693.6,785.80,-9.4,1.48, , 
,,,,,,786.84,2144,34.1,4.12,418.2,786.50,0.0,1.48, , 
,,,,,,787.51,2144,25.1,3.09,336.6,787.17,-4.3,1.21, , 
,,,,,,788.22,2112,31.0,3.09,377.4,787.88,-8.6,1.21, , 
,,,,,,788.94,2112,35.3,4.12,438.6,788.57,-11.3,1.37, , 
,,,,,,789.65,2080,35.3,4.12,438.6,789.29,-12.5,1.52, , 
,,,,,,790.37,2080,36.9,4.12,438.6,790.01,-13.3,1.48, , 
,,,,,,791.05,2080,41.2,4.12,499.8,790.71,-13.3,1.56, , 
,,,,,,791.74,2080,50.2,6.18,591.6,791.39,-10.5,1.64, , 
,,,,,,792.41,2080,51.8,6.18,591.6,792.08,-7.8,1.60, , 
,,,,,,793.08,2048,51.8,6.18,591.6,792.74,-5.5,1.52, , 
,,,,,,793.79,2080,51.8,6.18,591.6,793.43,-3.9,1.45, , 
,,,,,,794.53,2080,51.8,6.18,591.6,794.16,-4.3,1.45, , 
,,,,,,795.21,2080,54.5,6.18,612.0,794.88,-4.7,1.45, , 
,,,,,,795.90,2080,54.5,7.21,632.4,795.54,-4.3,1.45, , 
,,,,,,796.62,2080,54.5,6.18,632.4,796.27,-4.7,1.48, , 
,,,,,,797.33,2112,54.5,6.18,612.0,796.99,-5.1,1.48, , 
,,,,,,798.03,2112,53.3,6.18,612.0,797.67,-5.9,1.48, , 
,,,,,,798.72,2144,53.3,6.18,612.0,798.38,-5.9,1.48, , 
,,,,,,799.43,2144,53.3,6.18,612.0,799.07,-5.9,1.48, , 
,,,,,,800.13,2144,50.2,6.18,591.6,799.78,-6.6,1.45, , 
,,,,,,800.82,2176,42.7,5.15,499.8,800.47,-5.1,1.56, , 
,,,,,,801.51,2144,42.7,5.15,499.8,801.15,-5.5,1.48, , 
,,,,,,802.19,2176,44.3,5.15,520.2,801.84,-4.7,1.48, , 
,,,,,,802.90,2176,48.6,6.18,571.2,802.55,-2.3,1.48, , 
,,,,,,803.59,2176,50.2,6.18,571.2,803.26,-1.6,1.41, , 
,,,,,,804.26,2176,65.1,9.27,714.0,803.93,-3.1,1.37, , 
,,,,,,804.94,2208,69.4,9.27,754.8,804.60,0.0,0.78, , 
,,,,,,805.61,2208,66.3,7.21,734.4,805.27,-7.8,1.29, , 
,,,,,,806.28,2240,53.3,6.18,612.0,805.94,-9.8,1.45, , 
,,,,,,806.94,2240,34.1,3.09,418.2,806.61,0.0,1.48, , 
,,,,,,807.59,2240,23.5,3.09,316.2,807.27,0.0,1.37, , 
,,,,,,808.27,2208,25.1,3.09,336.6,807.92,-7.4,1.13, , 
,,,,,,808.94,2208,23.5,2.06,316.2,808.60,-9.4,1.37, , 
,,,,,,809.63,2176,17.6,2.06,275.4,809.28,-11.7,1.37, , 
,,,,,,810.30,2176,17.6,2.06,244.8,809.96,-9.0,1.60, , 
,,,,,,810.99,2144,17.6,2.06,244.8,810.65,-7.8,1.60, , 
,,,,,,811.66,2112,16.1,2.06,244.8,811.31,-7.0,1.56, , 
,,,,,,812.34,2112,16.1,2.06,244.8,811.99,-6.3,1.52, , 
,,,,,,813.05,2080,16.1,2.06,244.8,812.70,-4.3,1.56, , 
,,,,,,813.76,2048,0.0,0.00,244.8,813.41,-3.9,1.52, , 
,,,,,,814.48,2016,0.0,0.00,275.4,814.11,0.0,3.20, , 
,,,,,,815.20,1984,0.0,0.00,275.4,814.84,0.0,3.91, , 
,,,,,,815.91,1952,0.0,0.00,275.4,815.55,0.0,3.87, , 
,,,,,,816.62,1920,0.0,0.00,275.4,816.25,0.0,3.95, , 
,,,,,,817.34,1888,0.0,0.00,295.8,816.97,0.0,3.87, , 
,,,,,,818.00,1824,0.0,0.00,316.2,817.68,0.0,3.95, , 
,,,,,,818.65,1760,0.0,0.00,316.2,818.31,0.0,3.95, , 
,,,,,,819.39,1728,0.0,0.00,316.2,819.04,0.0,3.95, , 
,,,,,,820.09,1664,0.0,0.00,316.2,819.74,0.0,3.91, , 
,,,,,,820.79,1632,0.0,0.00,336.6,820.45,0.0,3.95, , 
,,,,,,821.47,1632,0.0,0.00,336.6,821.13,0.0,3.95, , 
,,,,,,822.14,1600,0.0,0.00,336.6,821.81,0.0,3.95, , 
,,,,,,822.81,1600,0.0,0.00,336.6,822.48,0.0,3.91, , 
,,,,,,823.49,1600,32.5,4.12,418.2,823.14,0.0,3.59, , 
,,,,,,824.15,1632,78.4,11.33,867.0,823.81,0.0,0.90, , 
,,,,,,824.86,1664,87.1,13.39,969.0,824.51,0.0,0.90, , 
,,,,,,825.53,1696,90.2,13.39,989.4,825.20,0.0,0.90, , 
,,,,,,826.27,1792,91.4,12.36,989.4,825.89,0.0,0.78, , 
,,,,,,827.04,1824,91.4,11.33,989.4,826.65,-12.5,1.13, , 
,,,,,,827.79,1888,91.4,10.30,989.4,827.42,-15.6,1.37, , 
,,,,,,828.52,1920,91.4,11.33,989.4,828.16,-18.8,1.45, , 
,,,,,,829.23,1984,91.4,11.33,989.4,828.88,-20.7,1.17, , 
,,,,,,829.95,1984,91.4,11.33,989.4,829.59,-21.9,1.17, , 
,,,,,,830.65,2016,92.9,11.33,989.4,830.30,-20.7,1.21, , 
,,,,,,831.35,2048,92.9,12.36,989.4,830.99,-21.1,1.17, , 
,,,,,,832.03,2080,92.9,12.36,989.4,831.69,-19.5,1.17, , 
,,,,,,832.72,2080,92.9,12.36,989.4,832.38,-19.5,1.13, , 
,,,,,,833.39,2112,92.9,12.36,989.4,833.05,-18.4,1.13, , 
,,,,,,834.06,2144,92.9,12.36,989.4,833.74,-18.8,1.09, , 
,,,,,,834.75,2176,92.9,12.36,989.4,834.40,-18.4,1.09, , 
,,,,,,835.41,2176,92.9,10.30,989.4,835.08,-18.4,1.13, , 
,,,,,,836.09,2176,92.9,11.33,989.4,835.75,-17.2,1.52, , 
,,,,,,836.77,2208,92.9,11.33,989.4,836.42,-16.4,1.45, , 
,,,,,,837.44,2240,92.9,11.33,989.4,837.10,-16.8,1.41, , 
,,,,,,838.11,2272,92.9,11.33,989.4,837.78,-16.4,1.41, , 
,,,,,,838.80,2272,92.9,11.33,989.4,838.45,-16.8,1.37, , 
,,,,,,839.47,2272,92.9,11.33,989.4,839.13,-16.0,1.41, , 
,,,,,,840.13,2304,92.9,11.33,989.4,839.80,-16.8,1.41, , 
,,,,,,840.80,2304,92.9,11.33,989.4,840.47,-16.0,1.45, , 
,,,,,,841.49,2336,94.5,11.33,989.4,841.12,-16.0,1.45, , 
,,,,,,842.15,2368,94.5,11.33,989.4,841.82,-14.8,1.48, , 
,,,,,,842.82,2400,91.4,11.33,969.0,842.49,-15.2,1.48, , 
,,,,,,843.52,2432,88.6,10.30,928.2,843.17,-17.2,1.37, , 
,,,,,,844.22,2432,63.5,8.24,693.6,843.87,0.0,0.82, , 
,,,,,,844.91,2464,65.1,7.21,693.6,844.57,0.0,0.78, , 
,,,,,,845.62,2464,63.5,7.21,693.6,845.26,-11.7,1.25, , 
,,,,,,846.33,2464,63.5,6.18,693.6,845.99,-14.5,1.45, , 
,,,,,,847.02,2464,60.4,6.18,673.2,846.66,-15.6,1.56, , 
,,,,,,847.70,2496,57.6,6.18,632.4,847.37,-14.5,1.60, , 
,,,,,,848.39,2496,56.1,6.18,612.0,848.05,-13.3,1.56, , 
,,,,,,849.06,2496,48.6,5.15,550.8,848.73,-11.7,1.56, , 
,,,,,,849.74,2496,47.1,5.15,520.2,849.41,-7.4,1.56, , 
,,,,,,850.45,2496,45.9,5.15,520.2,850.07,-5.1,1.48, , 
,,,,,,851.16,2464,34.1,3.09,418.2,850.81,-4.3,1.37, , 
,,,,,,851.86,2464,28.2,3.09,357.0,851.53,-7.8,1.33, , 
,,,,,,852.61,2432,29.4,3.09,377.4,852.23,-9.4,1.41, , 
,,,,,,853.30,2432,44.3,5.15,520.2,852.94,0.0,1.60, , 
,,,,,,853.97,2432,44.3,5.15,499.8,853.64,-2.3,1.37, , 
,,,,,,854.67,2432,44.3,5.15,499.8,854.31,-2.7,1.45, , 
,,,,,,855.36,2400,44.3,5.15,499.8,855.03,-3.5,1.48, , 
,,,,,,856.04,2400,38.4,4.12,459.0,855.70,-4.7,1.48, , 
,,,,,,856.77,2400,38.4,4.12,438.6,856.40,-5.1,1.52, , 
,,,,,,857.43,2400,36.9,4.12,438.6,857.10,-5.5,1.52, , 
,,,,,,858.14,2400,36.9,4.12,438.6,857.81,-6.3,1.48, , 
,,,,,,858.86,2400,36.9,4.12,438.6,858.48,-6.3,1.48, , 
,,,,,,859.56,2368,36.9,4.12,438.6,859.21,-5.9,1.48, , 
,,,,,,860.26,2368,38.4,4.12,459.0,859.92,-5.5,1.48, , 
,,,,,,861.00,2368,38.4,4.12,459.0,860.64,-4.3,1.45, , 
,,,,,,861.65,2336,38.4,4.12,459.0,861.33,-5.1,1.45, , 
,,,,,,862.33,2336,38.4,4.12,459.0,862.00,-4.7,1.48, , 
,,,,,,863.02,2336,38.4,4.12,459.0,862.67,-4.7,1.48, , 
,,,,,,863.70,2336,40.0,4.12,459.0,863.36,-3.9,1.48, , 
,,,,,,864.37,2304,38.4,4.12,459.0,864.03,-5.9,1.48, , 
,,,,,,865.04,2304,41.2,5.15,479.4,864.70,-5.5,1.56, , 
,,,,,,865.72,2304,41.2,5.15,479.4,865.39,-5.9,1.48, , 
,,,,,,866.36,2304,54.5,7.21,612.0,866.05,-4.7,1.52, , 
,,,,,,867.06,2304,54.5,6.18,612.0,866.71,-6.3,1.41, , 
,,,,,,867.74,2304,56.1,6.18,632.4,867.39,-7.0,1.41, , 
,,,,,,868.41,2336,54.5,6.18,612.0,868.07,-7.8,1.41, , 
,,,,,,869.06,2336,54.5,6.18,612.0,868.74,-8.2,1.48, , 
,,,,,,869.74,2336,54.5,6.18,612.0,869.41,-8.2,1.52, , 
,,,,,,870.43,2336,54.5,6.18,612.0,870.10,-8.2,1.52, , 
,,,,,,871.13,2336,54.5,6.18,612.0,870.78,-8.6,1.48, , 
,,,,,,871.82,2336,54.5,6.18,612.0,871.49,-8.2,1.52, , 
,,,,,,872.49,2336,40.0,4.12,479.4,872.15,-8.6,1.48, , 
,,,,,,873.15,2336,29.4,3.09,377.4,872.81,-5.9,1.41, , 
,,,,,,873.84,2304,28.2,3.09,357.0,873.51,-10.2,1.33, , 
,,,,,,874.53,2304,28.2,3.09,357.0,874.18,-10.5,1.45, , 
,,,,,,875.20,2272,25.1,2.06,336.6,874.87,-11.7,1.45, , 
,,,,,,875.89,2272,25.1,2.06,336.6,875.55,-12.9,1.45, , 
,,,,,,876.57,2240,31.0,3.09,397.8,876.23,-13.7,1.48, , 
,,,,,,877.23,2240,31.0,3.09,397.8,876.91,-12.9,1.56, , 
,,,,,,877.89,2208,31.0,3.09,397.8,877.56,-11.7,1.56, , 
,,,,,,878.60,2208,32.5,3.09,397.8,878.26,-10.9,1.52, , 
,,,,,,879.27,2208,32.5,3.09,397.8,878.94,-11.3,1.45, , 
,,,,,,879.98,2176,26.7,3.09,357.0,879.62,-9.8,1.52, , 
,,,,,,880.65,2144,26.7,3.09,357.0,880.32,-10.5,1.45, , 
,,,,,,881.34,2144,26.7,3.09,357.0,881.00,-10.2,1.52, , 
,,,,,,881.98,1344,0.0,0.00,336.6,881.66,0.0,2.70, , 
,,,,,,882.64,1024,29.4,4.12,397.8,882.32,0.0,3.71, , 
,,,,,,883.28,928,25.1,3.09,377.4,882.97,0.0,1.09, , 
,,,,,,883.89,896,26.7,3.09,397.8,883.57,0.0,0.23, , 
,,,,,,884.49,928,26.7,3.09,397.8,884.19,0.0,0.63, , 
,,,,,,885.08,896,26.7,3.09,397.8,884.80,-5.5,0.94, , 
,,,,,,885.70,896,26.7,3.09,397.8,885.40,-8.6,1.29, , 
,,,,,,886.31,896,28.2,3.09,397.8,886.00,-9.0,1.45, , 
,,,,,,886.93,896,26.7,3.09,397.8,886.62,-8.6,1.48, , 
,,,,,,887.54,896,26.7,3.09,397.8,887.22,-7.8,1.52, , 
,,,,,,888.16,864,26.7,3.09,397.8,887.85,-7.0,1.52, , 
,,,,,,888.80,896,26.7,3.09,397.8,888.46,-6.3,1.48, , 
,,,,,,889.43,896,26.7,3.09,397.8,889.12,-5.9,1.48, , 
,,,,,,890.00,896,26.7,3.09,397.8,889.71,-5.5,1.48, , 
,,,,,,890.61,896,26.7,3.09,397.8,890.32,-4.7,1.48, , 
,,,,,,891.21,864,26.7,3.09,397.8,890.92,-4.3,1.48, , 
,,,,,,891.82,896,26.7,3.09,397.8,891.50,-4.3,1.45, , 
,,,,,,892.43,896,26.7,3.09,377.4,892.12,-4.3,1.45, , 
,,,,,,893.02,896,26.7,3.09,377.4,892.73,-4.7,1.41, , 
,,,,,,893.62,864,28.2,3.09,397.8,893.33,-5.1,1.41, , 
,,,,,,894.21,896,26.7,3.09,397.8,893.92,-5.5,1.37, , 
,,,,,,894.81,864,28.2,3.09,397.8,894.50,-7.4,1.29, , 
,,,,,,895.45,896,28.2,3.09,397.8,895.11,-8.2,1.41, , 
,,,,,,896.08,864,28.2,3.09,397.8,895.77,-8.2,1.48, , 
,,,,,,896.70,896,28.2,3.09,397.8,896.37,-7.4,1.48, , 
,,,,,,897.30,896,28.2,3.09,397.8,897.01,-6.6,1.52, , 
,,,,,,897.90,864,28.2,3.09,397.8,897.60,-6.3,1.48, , 
,,,,,,898.51,896,28.2,3.09,397.8,898.21,-5.9,1.45, , 
,,,,,,899.11,896,28.2,3.09,397.8,898.81,-6.3,1.41, , 
,,,,,,899.70,896,28.2,3.09,397.8,899.40,-6.6,1.41, , 
,,,,,,900.31,864,26.7,3.09,397.8,900.01,-6.6,1.41, , 
,,,,,,900.92,896,28.2,3.09,397.8,900.62,-7.0,1.45, , 
,,,,,,901.51,768,26.7,3.09,397.8,901.22,-7.4,1.37, , 
,,,,,,902.10,768,29.4,3.09,418.2,901.81,-9.0,1.37, , 
,,,,,,902.70,800,29.4,3.09,438.6,902.40,-9.0,1.48, , 
,,,,,,903.28,800,29.4,3.09,438.6,902.98,-8.6,1.48, , 
,,,,,,903.87,800,29.4,3.09,418.2,903.57,-8.2,1.48, , 
,,,,,,904.46,800,29.4,3.09,418.2,904.16,-7.8,1.48, , 
,,,,,,905.06,800,29.4,3.09,418.2,904.76,-7.8,1.45, , 
,,,,,,905.66,800,29.4,3.09,418.2,905.35,-7.8,1.45, , 
,,,,,,906.27,768,29.4,3.09,418.2,905.96,-8.2,1.45, , 
